VARIANTID,PB_TAAKID,PB_TAAK_OMSCHRIJVING,TAAK_TAAKID,TAAK_TAAK_OMSCHRIJVING,TAAK_VOLGORDE
000087,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000087,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000087,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000088,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000088,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000088,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000088,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000088,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000089,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000089,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000089,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000089,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000089,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000090,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000090,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000090,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000090,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000090,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000091,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000091,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000091,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000091,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000091,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000094,9210_94,Controleren oplevering,91000,TWI Factuur,0010
000094,9210_94,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000094,9210_94,Controleren oplevering,9659_94,Inzichtelijk maken kosten,0030
000094,9210_94,Controleren oplevering,9670_94,Controle revisie,0040
000094,9210_94,Controleren oplevering,9671_94,Afsluiten openstaande bestelobligo's,0050
000095,9210_94,Controleren oplevering,91000,TWI Factuur,0010
000095,9210_94,Controleren oplevering,9659_94,Inzichtelijk maken kosten,0020
000095,9210_94,Controleren oplevering,9670_94,Controle revisie,0030
000095,9210_94,Controleren oplevering,9671_94,Afsluiten openstaande bestelobligo's,0040
000096,9210_96,Controleren oplevering,91000,TWI Factuur,0010
000096,9210_96,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000096,9210_96,Controleren oplevering,9659_96,Inzichtelijk maken kosten,0030
000096,9210_96,Controleren oplevering,9670_96,Controle revisie,0040
000096,9210_96,Controleren oplevering,9671_96,Afsluiten openstaande bestelobligo's,0050
000097,9210_96,Controleren oplevering,91000,TWI Factuur,0010
000097,9210_96,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000097,9210_96,Controleren oplevering,9659_96,Inzichtelijk maken kosten,0030
000097,9210_96,Controleren oplevering,9670_96,Controle revisie,0040
000097,9210_96,Controleren oplevering,9671_96,Afsluiten openstaande bestelobligo's,0050
000125,9210_HSK2,Controleren oplevering,9660_HSKV,Controle PV staat,0001
000125,9210_HSK2,Controleren oplevering,9670_HSKV,Controle revisie,0002
000131,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000131,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000131,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000131,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000301,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000301,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000301,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000301,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000301,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000302,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000302,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000302,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000302,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000302,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000303,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000303,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000303,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000303,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000303,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000304,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000304,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000304,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000304,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000304,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000305,9210_ASAP,Controleren oplevering,91000,TWI Factuur,0010
000305,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0020
000305,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0030
000305,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0040
000305,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0050
000931,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
000931,9210_ASAP,Controleren oplevering,9659_ASAP,Inzichtelijk maken kosten,0002
000931,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000931,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0004
000951,9210_ASAP,Controleren oplevering,9790_ASAP,Aanmaken oplevermap,0001
000951,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0003
000951,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0005
000960,9210_ASAP,Controleren oplevering,9679_CM01,Aanvullen en afronden case gas lekzoeken,0001
009052,9210_ASAP,Controleren oplevering,9790_ASAP,Aanmaken oplevermap,0020
009052,9210_ASAP,Controleren oplevering,9670_ASAP,Controle revisie,0030
009052,9210_ASAP,Controleren oplevering,9671_ASAP,Afsluiten openstaande bestelobligo's,0040
900010,9210_TT,PLANBLOK Controleren oplevering,9659_TT,TAAK Oplevering1,0001
